instancia,selectionSort,mergeSort
0,0.000041,0.000022
1,0.000040,0.000019
2,0.000038,0.000018
3,0.000047,0.000019
4,0.000037,0.000018
5,0.000059,0.000018
6,0.000034,0.000018
7,0.000046,0.000020
8,0.000037,0.000018
9,0.000036,0.000017
10,0.000033,0.000016
11,0.000040,0.000017
12,0.000034,0.000019
13,0.000036,0.000017
14,0.000035,0.000016
15,0.000034,0.000019
16,0.000039,0.000016
17,0.000038,0.000018
18,0.000039,0.000021
19,0.000034,0.000017
20,0.000037,0.000019
21,0.000032,0.000016
22,0.000033,0.000016
23,0.000034,0.000018
24,0.000034,0.000016
25,0.000089,0.000036
26,0.000034,0.000018
27,0.000035,0.000190
28,0.000047,0.000103
29,0.000034,0.000017
30,0.000033,0.000016
31,0.000033,0.000016
32,0.000035,0.000021
33,0.000042,0.000018
34,0.000033,0.000015
35,0.000071,0.000026
36,0.000039,0.000017
37,0.000038,0.000018
38,0.000036,0.000015
39,0.000035,0.000017
40,0.000039,0.000015
41,0.000019,0.000017
42,0.000012,0.000014
43,0.000009,0.000015
44,0.000009,0.000015
45,0.000009,0.000014
46,0.000010,0.000017
47,0.000009,0.000014
48,0.000011,0.000016
49,0.000010,0.000014
50,0.000010,0.000015
51,0.000009,0.000014
52,0.000010,0.000015
53,0.000009,0.000014
54,0.000009,0.000014
55,0.000009,0.000014
56,0.000009,0.000016
57,0.000016,0.000034
58,0.000011,0.000017
59,0.000016,0.000021
60,0.000011,0.000016
61,0.000014,0.000018
62,0.000009,0.000014
63,0.000009,0.000014
64,0.000009,0.000014
65,0.000009,0.000014
66,0.000009,0.000015
67,0.000009,0.000014
68,0.000009,0.000014
69,0.000009,0.000015
70,0.000009,0.000014
71,0.000009,0.000028
72,0.000009,0.000014
73,0.000098,0.000017
74,0.000010,0.000015
75,0.000010,0.000014
76,0.000009,0.000014
77,0.000009,0.000014
78,0.000009,0.000014
79,0.000009,0.000014
80,0.000009,0.000014
81,0.000009,0.000015
82,0.000010,0.000014
83,0.000011,0.000015
84,0.000009,0.000014
85,0.000009,0.000015
86,0.000010,0.000016
87,0.000009,0.000014
88,0.000012,0.000016
89,0.000009,0.000015
90,0.000009,0.000014
91,0.000012,0.000018
92,0.000011,0.000019
93,0.000010,0.000015
94,0.000038,0.000024
95,0.000021,0.000014
96,0.000020,0.000016
97,0.000018,0.000014
98,0.000017,0.000013
99,0.000018,0.000013
